year,round,driver,constructor,circuit,location,country,date,position,grid,qualifying_position,dnf,pit_stops,temperature,humidity,wind_speed,precipitation,driver_podiums,constructor_podiums,driver_wins,constructor_wins
2000,4,Eddie Irvine,Jaguar,Silverstone Circuit,Silverstone,UK,2000-04-23,13,9,-1,True,0,,,,,24,2,4,0
2000,5,David Coulthard,McLaren,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,2,4,-1,False,0,,,,,37,24,9,6
2000,5,Rubens Barrichello,Ferrari,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,3,3,-1,False,0,,,,,3,36,0,11
2000,5,Mika Häkkinen,McLaren,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,1,2,-1,False,0,,,,,17,24,2,6
2000,5,Michael Schumacher,Ferrari,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,5,1,-1,False,0,,,,,0,36,0,11
2000,5,Heinz-Harald Frentzen,Jordan,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,6,8,-1,False,0,,,,,16,1,3,0
2000,5,Mika Salo,Sauber,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,7,12,-1,True,0,,,,,2,1,0,0
2000,5,Ricardo Zonta,BAR,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,8,16,-1,True,0,,,,,0,2,0,0
2000,5,Giancarlo Fisichella,Benetton,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,9,13,-1,True,0,,,,,9,12,0,1
2000,5,Alexander Wurz,Benetton,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,10,18,-1,True,0,,,,,3,12,0,1
2000,5,Eddie Irvine,Jaguar,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,11,9,-1,True,0,,,,,24,2,4,0
2000,5,Jarno Trulli,Jordan,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,12,7,-1,True,0,,,,,1,1,0,0
2000,5,Johnny Herbert,Jaguar,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,13,14,-1,True,0,,,,,5,2,2,0
2000,5,Nick Heidfeld,Prost,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,16,19,-1,True,0,,,,,4,3,0,0
2000,5,Jenson Button,Williams,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,17,10,-1,True,0,,,,,12,24,0,9
2000,5,Pedro de la Rosa,Arrows,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,21,22,-1,True,0,,,,,0,4,0,0
2000,5,Jos Verstappen,Arrows,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,18,11,-1,True,0,,,,,2,4,0,0
2000,5,Jean Alesi,Prost,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,20,17,-1,True,0,,,,,18,3,1,0
2000,5,Gastón Mazzacane,Minardi,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,15,21,-1,True,0,,,,,0,0,0,0
2000,5,Marc Gené,Minardi,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,14,20,-1,True,0,,,,,0,0,0,0
2000,6,Michael Schumacher,Ferrari,Nürburgring,Nürburg,Germany,2000-05-21,1,2,-1,False,0,7.8,,10.8,7.8,0,36,0,11
2000,5,Pedro Diniz,Sauber,Circuit de Barcelona-Catalunya,Montmeló,Spain,2000-05-07,22,15,-1,True,0,,,,,0,1,0,0
2000,6,Mika Häkkinen,McLaren,Nürburgring,Nürburg,Germany,2000-05-21,2,3,-1,False,0,7.8,,10.8,7.8,17,24,2,6
2000,6,Pedro de la Rosa,Arrows,Nürburgring,Nürburg,Germany,2000-05-21,6,12,-1,True,0,7.8,,10.8,7.8,0,4,0,0
